VSP_group,HVAC_0.5KW,HVAC_1KW,HVAC_1.5KW,HVAC_2KW,HVAC_2.5KW,HVAC_3KW,HVAC_3.5KW,HVAC_4KW,HVAC_4.5KW,HVAC_5KW,HVAC_5.5KW,HVAC_6KW,HVAC_adjust_rate,t_value
-12000.0,-13045.96368737144,-12589.701018899257,-12001.441208485405,-11598.737131982838,-11074.934635691621,-10593.27570991717,-10076.80508012665,-9569.243699242641,-8977.376024793979,-8527.421499065307,-8005.3639876564575,-7392.797073482236,1.0202961746502726,119.93518296619631
-9000.0,-6575.649770235933,-6218.15576815335,-5982.249353042982,-5756.304594509634,-5517.009919724948,-5184.161721736448,-4808.736733910616,-4435.004737153017,-4063.700056674102,-3685.8373191425585,-3329.5782081680295,-2965.9351555018657,0.6563874563913632,37.91232345817797
-6000.0,-4057.6371798442915,-3681.8034806840537,-3346.8684689358083,-3020.2634102167553,-2652.8805416020637,-2232.105879013556,-1795.240751509695,-1351.5698037423833,-909.7612877318319,-469.14396067938446,-9.645188186744443,442.0554777647525,0.8222617019404042,56.30180913867818
-3000.0,-1537.030153774072,-1074.9698316701986,-630.7293673362527,-183.0013775546438,263.1952179221653,716.3565188853014,1194.8497182130898,1679.387798732356,2172.0703680238344,2674.1615389766976,3187.7236489977345,3703.753203856559,0.9485980718446838,113.13258327076227
0.0,1016.8041164033651,1541.9125846013167,2065.2794394179373,2589.7362981699443,3115.596332493566,3642.3413976515276,4170.272088805893,4701.667530471666,5234.771821889801,5770.009405454955,6306.817511467934,6844.634503111554,1.0589839878429144,662.8058088095265
3000.0,7038.788560500077,7577.279297624258,8116.728347979529,8656.20012674191,9197.027283207191,9738.876467279042,10279.414140169383,10822.624098727012,11367.494828957559,11912.81927291477,12459.79962162934,13007.371514209119,1.0849198147686707,1182.5019898440598
6000.0,13229.152376869732,13776.821021542202,14325.501690911302,14875.159026164956,15425.93086079705,15977.808346985896,16530.76065255009,17084.778966506972,17639.86307676165,18195.93916305716,18753.019821043916,19311.085534745387,1.1058261056842373,1083.5893089321319
9000.0,18719.011709587085,19274.87424606452,19831.79451530106,20389.802786796845,20948.951821483453,21509.292493805522,22070.797920783076,22633.34154185067,23196.919528642025,23761.62735001306,24327.255008002234,24893.816553413795,1.1227508271316242,1063.0077831568042
12000.0,24484.167642493307,25047.582757311597,25612.029503857902,26177.578670296985,26744.307277090007,27312.305907709946,27881.524854525578,28451.65758765607,29022.580087397968,29594.47379727675,30167.496334482814,30741.66045840726,1.1377974138989153,1104.007176391862
15000.0,29664.869527571314,30235.692568420316,30807.58191773865,31380.498654218045,31954.60141065161,32529.873717479935,33106.3074192308,33683.759305834705,34262.189775976985,34841.48523915109,35421.9444309385,36003.564641796955,1.1525286661897014,1110.9206808554081
18000.0,34717.09285917565,35292.1183657021,35868.24524444542,36445.41031085076,37023.66142349124,37603.009468558754,38183.45834681219,38765.04752799499,39347.710672163565,39931.30182913193,40516.016402123656,41101.855920365524,1.160873993650466,1112.0941128339746
