VSP_group,mot_control,HVAC_0.5KW,HVAC_1KW,HVAC_1.5KW,HVAC_2KW,HVAC_2.5KW,HVAC_3KW,HVAC_3.5KW,HVAC_4KW,HVAC_4.5KW,HVAC_5KW,HVAC_5.5KW,HVAC_6KW,HVAC_adjust_rate,t_value
-12000,1,,,,,,,,,,,,,1.787510079,6.915698656
-9000,1,15676.43094,15778.93684,15883.25362,15860.12621,17259.70661,17713.86399,17871.94224,22705.49705,23184.6174,23487.41354,20829.37373,25113.97497,1.787510079,6.915698656
-12000,0,,,,,,,,,,,,,-0.390210783,-2.561008746
-9000,0,,,,,,,,,,,,,-0.390210783,-2.561008746
-6000,0,9887.235237,10073.77712,10341.11481,10626.75869,8865.454912,8768.262814,11499.35038,8299.310282,8387.273493,8249.229821,8186.001552,8614.308452,-0.390210783,-2.561008746
-6000,1,11883.64522,12166.34872,12584.35919,12871.80659,14218.36876,14183.9092,15529.16482,18520.98383,18757.89993,19161.51443,14114.34019,14917.38468,0.983403577,2.954049923
-3000,0,11533.1223,10294.61348,13184.14754,13872.23209,8390.207174,8617.901044,8706.400196,13155.67675,13285.8952,13342.64678,8391.393235,8423.440429,-0.271138215,-0.675078168
-3000,1,17575.97258,18135.58786,18601.6563,19048.21231,19500.73781,20597.24006,20324.75614,22271.96456,22943.86545,23701.5677,16886.59961,18264.188,0.416421799,1.153680515
0,0,10676.77958,20614.01538,23076.57429,27744.2732,81048.55447,84963.57216,91054.287,52334.15997,50638.82627,54252.91332,6867.11134,11006.39193,0.926980904,0.173003709
0,1,19939.74906,20170.84573,20937.17967,21841.59201,22313.30389,22987.52518,23882.4882,26995.33339,28180.73045,29441.30491,27873.0193,28861.71717,1.913474348,11.20819726
3000,0,68352.93837,69517.21139,70732.43226,71950.89786,73170.36207,74399.47779,75640.21627,76893.47497,78131.95996,65524.02166,80660.11153,81934.05878,1.793950624,2.682905404
3000,1,27191.90066,28340.43186,29523.56143,30760.11229,32103.59484,33560.24101,35025.8721,36045.98065,37491.48033,38728.42712,40027.9706,41341.19803,2.602893764,135.2483878
6000,0,94630.90491,95823.77257,97036.27939,98240.87082,99486.86837,100751.2346,102031.127,103309.3552,104564.2901,105829.6338,107101.9554,108375.4993,2.507777023,303.7705142
6000,1,39007.49783,40311.5385,41733.49757,43168.06923,44526.44746,45828.554,47195.68206,48772.90499,50164.10488,51579.72769,53068.53686,54351.70325,2.808458284,222.6043126
9000,0,129549.6423,130614.6676,131705.506,132782.3394,133857.5751,134963.1732,136087.0659,137162.1074,138177.9468,139210.2228,140266.9402,141327.045,2.14664634,295.3796914
9000,1,56278.10196,57667.68637,58959.90101,60282.24814,61579.98898,62818.43359,64079.33379,65070.11995,66331.27729,67490.13731,69044.38699,70266.61887,2.503161431,113.78381
12000,1,70570.21606,71656.82399,72815.69615,73928.4952,74992.86611,76060.20683,77155.72522,78256.86897,79570.87691,80684.43272,81816.46637,82947.66328,2.250134911,181.5480126
15000,0,165736.0681,166529.0127,167326.4199,168105.4654,168877.6531,169676.9506,170491.0903,171286.7671,172070.9825,172868.4067,173683.163,174496.8832,1.590344708,574.6276215
15000,1,83538.30168,84633.10012,85683.13004,86837.08958,87982.81977,89189.04395,90336.33034,91503.62131,92718.867,93830.991,95040.35315,96242.47036,2.318634528,221.25637
18000,0,,,,,,,,,,,,,1.590344708,574.6276215
18000,1,96817.0466,98014.36541,99218.60331,100264.9698,101408.5763,102498.7966,103635.932,104774.9006,105884.1303,107037.7541,108461.4827,109528.417,2.293112566,146.5323693
